,index,project_number,file_number,project_name,company,proposal_status,project_type
608,,SIA/WB/MIS/37098/2018,EN/T-II-1/086/2018,Sunrise Greens,BENGAL PARK CHAMBERS HOUSING DEVELOPMENT LIMITED,ADS by SEAC,EC
609,,SIA/WB/MIS/37316/2018,EN/T-II-1/029/2018,SANKALPA - I,WEST BENGAL INFRASTRUCTURE DEVELOPMENT FINANCE CORPORATION LIMITED,EC Granted - Processed offline,EC
610,,SIA/WB/MIS/39137/2019,EN/T-II-1/001/2019,Residential Complex Kendriya Vihar,SYLVAN ESTATE DEVELOPERS,EC Granted,EC
611,,SIA/WB/MIS/40234/2018,EN/T-II-1/051/2018,"Proposed Secured Landfill facility  Calcutta Leather Complex, Bantala, Village-Tardaha Kapasati, District- South 24 Parganas, State-West Bengal.",MICRO SMALL AND MEDIUM ENTERPRISE & TEXTILES,EC Granted,EC
612,,SIA/WB/MIS/43040/2006,EN/T-II-1/023/2019,"Expansion of “KPC MEDICAL COLLEGE AND HOSPITAL” at 1F, Raja S.C. Mullick Road, P.O. & P.S. - Jadavpur, Kolkata – 700032, West Bengal",KPC MEDICAL COLLEGE AND HOSPITAL SOCIETY,Delisted,EC
613,,SIA/WB/MIS/44974/2018,EN/T-II-1/025/2018,"Dong Fang Electric (India) Private Limited” at New Town, Rajarhat, Kolkata.",DONG FANG ELECTRIC (INDIA) PRIVATE LIMITED,EC Granted,EC
614,,SIA/WB/MIS/46408/2019,EN/T-II-1/049/2019,Southwinds,SOUTHWINDS PROJECT LLP,EC Granted,EC
615,,SIA/WB/MIS/46437/2009,EN/T-II-1/073/2019,"Proposed expansion of TCS Gitanjali Park, Major Arterial Road, Action Area II, New Town, Kolkata",TATA CONSULTANCY SERVICES,EC Granted,EC
616,,SIA/WB/MIS/46918/2019,EN/T-II-1/066/2019,ONE-10,LAKSHMI GROUP REALTY (P) LTD. & ORS,WithdrawEC,EC
617,,SIA/WB/MIS/47419/2019,EN/T-II-1/045/2019,IDEAL AQUAVIEW,AQUAVIEW PROJECTS PVT.  LTD.,WithdrawEC,EC
618,,SIA/WB/MIS/47616/2019,EN/T-II-1/006/2020,"Expansion of Existing Common Bio-Medical Waste Treatment Facility at 41, F-Road, Belgachia, Liluah P.S., Howrah P.O. & District, West Bengal.",MEDICARE ENVIRONMENTAL MANAGEMENT PVT. LTD.,Rejection Letter Granted,EC
