Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/RJ/MIN/49130/2016,,Rajasthan,Ajmer,Nasirabad,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2016 ,Non-Coal Mining,MS SHRI VINAYAK CORPORATION,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/39938/2016,,Rajasthan,Bhilwara,Asind,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,HARI SHANKAR,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/160915/2020,,Rajasthan,Bhilwara,Beejoliya,Date of Submission for TOR: ,Date of Submission for EC: 29 Jun 2020 ,Non-Coal Mining,SH RAMLAL,Delisted
SIA/RJ/MIN/205291/2021,15307,Rajasthan,Ajmer,Kekri,Date of Submission for EC: 01 Apr 2021 ,Date of Ec Granted : 26 Aug 2021,Non-Coal Mining,SHRI PRAHLAD DHOBI,EC Granted - Processed offline
SIA/RJ/MIN/38956/2019,11926,Rajasthan,Barmer,Barmer,Date of Submission for EC: 12 Jul 2019 ,Date of Ec Granted : 20 Sep 2019,Non-Coal Mining,SHRI SAKA RAM,EC Granted - Processed offline
SIA/RJ/MIN/57048/2016,,Rajasthan,Bhilwara,Beejoliya,Date of Submission for TOR: ,Date of Submission for EC: 16 Jul 2016 ,Non-Coal Mining,DILIP KUMAR,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57063/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 04 Jul 2016 ,Non-Coal Mining,KP CONSULTANTS,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57066/2016,,Rajasthan,Jaipur,Bassi,Date of Submission for TOR: ,Date of Submission for EC: 04 Jul 2016 ,Non-Coal Mining,SHRI GAURAV KEDIA,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57127/2016,,Rajasthan,Ajmer,Beawar,Date of Submission for TOR: ,Date of Submission for EC: 05 Jul 2016 ,Non-Coal Mining,UNITED STONE PVT LTD,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/57135/2016,,Rajasthan,Nagaur,Jayal,Date of Submission for TOR: ,Date of Submission for EC: 05 Jul 2016 ,Non-Coal Mining,MS JL DAGA MINES AND MINERALS PVT LTD,Under examination of SEIAA - Processed offline
