Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/MIN/58620/2019,5991/5259,Uttar Pradesh,Mirzapur,Mirzapur,Date of Submission for EC: 26 Nov 2020 ,Date of Ec Granted : 04 Mar 2021,Non-Coal Mining,SHRI PRAVEEN  KUMAR,EC Granted
SIA/UP/NCP/18489/2016,,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2017 ,INFRA-1,SUNWORLD RESIDENCY PVT LTD,Under examination of SEIAA - Processed offline
SIA/UP/MIN/63367/2021,6430,Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 10 May 2022 ,Date of Ec Granted : 20 Oct 2022,Non-Coal Mining,SMT FARHAT,EC Granted
SIA/UP/THE/20829/2016,,Uttar Pradesh,Sitapur,Biswan,Date of Submission for TOR: ,Date of Submission for EC: 28 Oct 2017 ,Thermal Projects,M/S  SEKSARIA BISWAN SUGAR FACTORY LIMITED (SBSFL),Query raised by SEIAA and pending at PP
SIA/UP/NCP/76741/2018,4455,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for EC: 28 Aug 2018 ,Date of Ec Granted : 30 Jun 2020,INFRA-1,M/S HIGH-END INFRATECH PVT. LTD.,EC Granted
SIA/UP/MIN/41427/2019,5001,Uttar Pradesh,Banda,Naraini,Date of Submission for EC: 23 Jun 2020 ,Date of Ec Granted : 05 Oct 2020,Non-Coal Mining,MUMTAJ ALI,EC Granted
SIA/UP/NCP/75678/2018,4375,Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for EC: 02 Jul 2018 ,Date of Ec Granted : 10 May 2019,INFRA-1,M/S NILAYA INFRA PVT. LTD,EC Granted
SIA/UP/MIN/28395/2018,4413,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 02 Feb 2019 ,Date of Ec Granted : 21 May 2019,Non-Coal Mining,A D AGRO FOODS PRIVATE LIMITED,EC Granted
SIA/UP/MIN/28085/2018,4383,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 27 Feb 2019 ,Date of Ec Granted : 15 Oct 2020,Non-Coal Mining,S R INNOVATION L L P,EC Granted
SIA/UP/MIS/97437/2019,4724,Uttar Pradesh,Varanasi,Pindra,Date of Submission for EC: 02 Mar 2019 ,Date of Ec Granted : 13 Jun 2019,INFRA-2,UTKARSH SMALL FINANCE BANK LTD,EC Granted
SIA/UP/MIN/236523/2021,6663,Uttar Pradesh,Sonbhadra,Dudhi,Date of Submission for EC: 30 Oct 2021 ,Date of Ec Granted : 30 Dec 2021,Non-Coal Mining,SHRI VIJENDRA KUMAR,EC Granted
SIA/UP/MIN/64039/2021,6375,Uttar Pradesh,PRAYAGRAJ,Meja,Date of Submission for TOR: ,Date of Submission for EC: 11 Aug 2022 ,Non-Coal Mining,M/S  J.H. TRADERS,Delisted
