"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"2492","Nagpur","Mauda",9,"nagpur mauda",0,"nagpur mauda",505,"04029"
"2493","Nagpur","Nagpur (Rural)",36,"nagpur nagpur (rural)",0,"nagpur nagpur (rural)",505,"04031"
"2494","Nagpur","Nagpur (Urban)",14,"nagpur nagpur (urban)",0,"nagpur nagpur (urban)",505,"04032"
"2495","Nagpur","Narkhed",1,"nagpur narkhed",0,"nagpur narkhed",505,"04023"
"2496","Nagpur","Parseoni",34,"nagpur parseoni",0,"nagpur parseoni",505,"04027"
"2497","Nagpur","Ramtek",5,"nagpur ramtek",0,"nagpur ramtek",505,"04028"
"2498","Nagpur","Savner",38,"nagpur savner",0,"nagpur savner",505,"04026"
"2499","Nagpur","Umred",18,"nagpur umred",0,"nagpur umred",505,"04034"
"2500","Nalanda","Asthawan",2,"nalanda asthawan",0,"nalanda asthawan",229,"01385"
"2501","Nalanda","Bihar",2,"nalanda bihar",0,"nalanda bihar",229,"01386"
"2502","Nalanda","Bind",1,"nalanda bind",0,"nalanda bind",229,"01383"
"2503","Nalanda","Ekangarsarai",4,"nalanda ekangarsarai",0,"nalanda ekangarsarai",229,"01391"
"2504","Nalanda","Giriak",1,"nalanda giriak",0,"nalanda giriak",229,"01396"
"2505","Nalanda","Islampur",2,"nalanda islampur",0,"nalanda islampur",229,"01392"
"2506","Nalanda","Katrisarai",1,"nalanda katrisarai",0,"nalanda katrisarai",229,"01397"
"2507","Nalanda","Parbalpur",1,"nalanda parbalpur",0,"nalanda parbalpur",229,"01389"
"2508","Nalanda","Rahui",1,"nalanda rahui",0,"nalanda rahui",229,"01382"
