"","state_name","pc11_state_id","district_name","pc11_district_id"
"461","rajasthan",8,"baran",128
"462","rajasthan",8,"barmer",115
"463","rajasthan",8,"bharatpur",105
"464","rajasthan",8,"bhilwara",122
"465","rajasthan",8,"bikaner",101
"466","rajasthan",8,"bundi",121
"467","rajasthan",8,"chittaurgarh",126
"468","rajasthan",8,"churu",102
"469","rajasthan",8,"dausa",109
"470","rajasthan",8,"dhaulpur",106
"471","rajasthan",8,"dungarpur",124
"472","rajasthan",8,"ganganagar",99
"473","rajasthan",8,"hanumangarh",100
"474","rajasthan",8,"jaipur",110
"475","rajasthan",8,"jaisalmer",114
"476","rajasthan",8,"jalor",116
"477","rajasthan",8,"jhalawar",129
"478","rajasthan",8,"jhunjhunun",103
"479","rajasthan",8,"jodhpur",113
"480","rajasthan",8,"karauli",107
"481","rajasthan",8,"kota",127
"482","rajasthan",8,"nagaur",112
"483","rajasthan",8,"pali",118
"484","rajasthan",8,"pratapgarh",131
"485","rajasthan",8,"rajsamand",123
"486","rajasthan",8,"sawai madhopur",108
"487","rajasthan",8,"sikar",111
"488","rajasthan",8,"sirohi",117
"489","rajasthan",8,"tonk",120
"490","rajasthan",8,"udaipur",130
"491","sikkim",11,"east district",244
"492","sikkim",11,"north district",241
"493","sikkim",11,"south district",243
"494","sikkim",11,"west district",242
"495","tamil nadu",33,"ariyalur",616
"496","tamil nadu",33,"chennai",603
"497","tamil nadu",33,"coimbatore",632
"498","tamil nadu",33,"cuddalore",617
"499","tamil nadu",33,"dharmapuri",630
"500","tamil nadu",33,"dindigul",612
"501","tamil nadu",33,"erode",610
"502","tamil nadu",33,"kancheepuram",604
"503","tamil nadu",33,"kanniyakumari",629
"504","tamil nadu",33,"karur",613
"505","tamil nadu",33,"krishnagiri",631
"506","tamil nadu",33,"madurai",623
"507","tamil nadu",33,"nagapattinam",618
"508","tamil nadu",33,"namakkal",609
"509","tamil nadu",33,"perambalur",615
"510","tamil nadu",33,"pudukkottai",621
"511","tamil nadu",33,"ramanathapuram",626
"512","tamil nadu",33,"salem",608
"513","tamil nadu",33,"sivaganga",622
"514","tamil nadu",33,"thanjavur",620
"515","tamil nadu",33,"the nilgiris",611
"516","tamil nadu",33,"theni",624
"517","tamil nadu",33,"thiruvallur",602
"518","tamil nadu",33,"thiruvarur",619
"519","tamil nadu",33,"thoothukkudi",627
"520","tamil nadu",33,"tiruchirappalli",614
"521","tamil nadu",33,"tirunelveli",628
"522","tamil nadu",33,"tiruppur",633
"523","tamil nadu",33,"tiruvannamalai",606
"524","tamil nadu",33,"vellore",605
"525","tamil nadu",33,"viluppuram",607
"526","tamil nadu",33,"virudhunagar",625
"527","tripura",16,"dhalai",291
"528","tripura",16,"north tripura",292
"529","tripura",16,"south tripura",290
"530","tripura",16,"west tripura",289
"531","uttar pradesh",9,"agra",146
"532","uttar pradesh",9,"aligarh",143
"533","uttar pradesh",9,"allahabad",175
"534","uttar pradesh",9,"ambedkar nagar",178
"535","uttar pradesh",9,"auraiya",162
"536","uttar pradesh",9,"azamgarh",191
"537","uttar pradesh",9,"baghpat",139
"538","uttar pradesh",9,"bahraich",180
"539","uttar pradesh",9,"ballia",193
"540","uttar pradesh",9,"balrampur",182
"541","uttar pradesh",9,"banda",170
"542","uttar pradesh",9,"bara banki",176
"543","uttar pradesh",9,"bareilly",150
"544","uttar pradesh",9,"basti",185
"545","uttar pradesh",9,"bijnor",134
"546","uttar pradesh",9,"budaun",149
"547","uttar pradesh",9,"bulandshahr",142
"548","uttar pradesh",9,"chandauli",196
"549","uttar pradesh",9,"chitrakoot",171
"550","uttar pradesh",9,"deoria",190
"551","uttar pradesh",9,"etah",201
"552","uttar pradesh",9,"etawah",161
"553","uttar pradesh",9,"faizabad",177
"554","uttar pradesh",9,"farrukhabad",159
"555","uttar pradesh",9,"fatehpur",172
"556","uttar pradesh",9,"firozabad",147
"557","uttar pradesh",9,"gautam buddha nagar",141
"558","uttar pradesh",9,"ghaziabad",140
"559","uttar pradesh",9,"ghazipur",195
"560","uttar pradesh",9,"gonda",183
"561","uttar pradesh",9,"gorakhpur",188
"562","uttar pradesh",9,"hamirpur",168
"563","uttar pradesh",9,"hardoi",155
"564","uttar pradesh",9,"jalaun",165
"565","uttar pradesh",9,"jaunpur",194
"566","uttar pradesh",9,"jhansi",166
"567","uttar pradesh",9,"jyotiba phule nagar",137
"568","uttar pradesh",9,"kannauj",160
"569","uttar pradesh",9,"kanpur dehat",163
"570","uttar pradesh",9,"kanpur nagar",164
"571","uttar pradesh",9,"kanshiram nagar",202
"572","uttar pradesh",9,"kaushambi",174
"573","uttar pradesh",9,"kheri",153
"574","uttar pradesh",9,"kushinagar",189
"575","uttar pradesh",9,"lalitpur",167
"576","uttar pradesh",9,"lucknow",157
"577","uttar pradesh",9,"mahamaya nagar",144
"578","uttar pradesh",9,"mahoba",169
"579","uttar pradesh",9,"mahrajganj",187
"580","uttar pradesh",9,"mainpuri",148
"581","uttar pradesh",9,"mathura",145
"582","uttar pradesh",9,"mau",192
"583","uttar pradesh",9,"meerut",138
"584","uttar pradesh",9,"mirzapur",199
"585","uttar pradesh",9,"moradabad",135
"586","uttar pradesh",9,"muzaffarnagar",133
"587","uttar pradesh",9,"pilibhit",151
"588","uttar pradesh",9,"pratapgarh",173
"589","uttar pradesh",9,"rae bareli",158
"590","uttar pradesh",9,"rampur",136
"591","uttar pradesh",9,"saharanpur",132
"592","uttar pradesh",9,"sant kabir nagar",186
"593","uttar pradesh",9,"sant ravidas nagar bhadohi",198
"594","uttar pradesh",9,"shahjahanpur",152
"595","uttar pradesh",9,"shrawasti",181
"596","uttar pradesh",9,"siddharthnagar",184
"597","uttar pradesh",9,"sitapur",154
"598","uttar pradesh",9,"sonbhadra",200
"599","uttar pradesh",9,"sultanpur",179
"600","uttar pradesh",9,"unnao",156
"601","uttar pradesh",9,"varanasi",197
"602","uttarakhand",5,"almora",64
"603","uttarakhand",5,"bageshwar",63
"604","uttarakhand",5,"chamoli",57
"605","uttarakhand",5,"champawat",65
"606","uttarakhand",5,"dehradun",60
"607","uttarakhand",5,"garhwal",61
"608","uttarakhand",5,"hardwar",68
"609","uttarakhand",5,"nainital",66
"610","uttarakhand",5,"pithoragarh",62
"611","uttarakhand",5,"rudraprayag",58
"612","uttarakhand",5,"tehri garhwal",59
