,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
4270,SIA/KA/MIN/2539/2015,SEIAA 1189 MIN 2015,Karnataka,Bangalore Rural,Devanahalli,Date of Submission for EC: 28 Sep 2015 ,Date of Ec Granted : 05 Jan 2016,Non-Coal Mining,ANJINAPPA S,EC Granted
4271,SIA/KA/MIN/755/2015,SEIAA 900 MIN 2015,Karnataka,Udupi,Udupi,Date of Submission for EC: 03 Aug 2015 ,Date of Ec Granted : 13 Feb 2016,Non-Coal Mining,SMT. SWARNALATHA J SHETTY,EC Granted
4272,SIA/KA/MIN/2280/2015,SEIAA 1158 MIN 2015,Karnataka,Belgaum,Ramdurg,Date of Submission for EC: 18 Sep 2015 ,Date of Ec Granted : 18 Nov 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE BELGAUM,EC Granted
4273,SIA/KA/NCP/3727/2015,SEIAA 177 CON 2015,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 01 Nov 2015 ,Date of Ec Granted : 16 Feb 2016,INFRA-1,MS GOYAL HARIYAN REALITY,EC Granted
4274,SIA/KA/MIN/56786/2016,SEIAA 176 MIN 2016,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 28 Jun 2016 ,Date of Ec Granted : 30 Jan 2017,Non-Coal Mining,SHILPA EXPORTS,EC Granted
4275,SIA/KA/MIN/57739/2016,SEIAA 184 MIN 2016,Karnataka,Haveri,Ranibennur,Date of Submission for EC: 23 Jul 2016 ,Date of Ec Granted : 18 Nov 2016,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE  HAVERI,EC Granted
4276,SIA/KA/NCP/60247/2016,SEIAA 170 CON 2016,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 09 Nov 2016 ,INFRA-1,M/S. AMRUTHA RAMA CONSTRUCTIONS PVT LTD.,Rejection Letter Granted
4277,SIA/KA/MIN/192784/2021,SEIAA 27 MIN 2021,Karnataka,Belgaum,Saundatti,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2021 ,Non-Coal Mining,M/S. SRI VIJAYA MINERALS,WithdrawEC
4278,SIA/KA/MIN/238071/2021,SEIAA 613 MIN 2021,Karnataka,Dharwad,Kalghatgi,Date of Submission for EC: 11 Nov 2021 ,Date of Ec Granted : 27 Jan 2022,Non-Coal Mining,SRI CHIGURUPATI  V S V PRASAD,EC Granted
4279,SIA/KA/MIN/3419/2015,SEIAA 1307 MIN 2015,Karnataka,Uttara Kannada,Karwar,Date of Submission for EC: 23 Oct 2015 ,Date of Ec Granted : 04 Dec 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE,EC Granted
4280,SIA/KA/MIN/3413/2015,SEIAA 1313 MIN 2015,Karnataka,Uttara Kannada,Karwar,Date of Submission for EC: 23 Oct 2015 ,Date of Ec Granted : 04 Dec 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE,EC Granted
4281,SIA/KA/MIN/2791/2015,SEIAA 1223 MIN 2015,Karnataka,Kolar,Mulabagal,Date of Submission for EC: 05 Oct 2015 ,Date of Ec Granted : 17 Dec 2015,Non-Coal Mining,ARCHEAN GRANITE PRIVATE LTD,EC Granted
4282,SIA/KA/MIN/42856/2019,,Karnataka,Hassan,Alur,Date of Submission for TOR: ,Date of Submission for EC: 14 Sep 2019 ,Non-Coal Mining,M/S GREY  STONE CRUSHER AND M-SAND,Delisted
4283,SIA/KA/MIN/3929/2015,SEIAA 1386 MIN 2015,Karnataka,Hassan,Sakaleshpur,Date of Submission for EC: 05 Nov 2015 ,Date of Ec Granted : 12 Jan 2016,Non-Coal Mining,DISTRICT SAND COMMITTEE HASSAN,EC Granted
4284,SIA/KA/IND2/9667/2016,SEIAA 2 IND 2016,Karnataka,Bangalore Urban,Anekal,Date of Submission for TOR: ,Date of Submission for EC: 01 Dec 2016 ,Industrial Projects - 2,MS ACEBRIGHT PHARMA PRIVATE LIMITED,Rejection Letter Granted
4285,SIA/KA/MIN/231013/2021,SEIAA 524 MIN 2021,Karnataka,Dharwad,Dharwad,Date of Submission for EC: 24 Sep 2021 ,Date of Ec Granted : 30 Dec 2021,Non-Coal Mining,BUILDING STONE QUARRY OF SRI VINAYAK S JADHAV,EC Granted
4286,SIA/KA/NCP/67136/2020,,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for TOR: ,Date of Submission for EC: 01 Sep 2021 ,INFRA-1,M/S. PRAJWAL BMW MANAGEMENT SYSTEMS (A UNIT OF V.V INCIN SOLUTIONS PRIVATE LIMITED),Delisted
4287,SIA/KA/IND2/138327/2020,SEIAA 37 IND 2018,,,,Date of Submission for TOR: ,Date of Submission for EC: 08 May 2020 ,Industrial Projects - 2,ANUGRAHA CHEMICALS,Under examination of SEIAA after SEAC
4288,SIA/KA/MIN/204276/2021,SEIAA 170 MIN 2021,Karnataka,Bagalkot,Hungund,Date of Submission for EC: 29 Mar 2021 ,Date of Ec Granted : 16 Aug 2022,Non-Coal Mining,SHANKARAPPA SHIRUR,EC Granted
4289,SIA/KA/IND2/24922/2018,SEIAA 16 IND (VIOL) 2018,Karnataka,Bidar,Bidar,Date of Submission for EC: 13 Sep 2019 ,Date of Ec Granted : 06 Jul 2020,Industrial Projects - 2,MS CHORUS LABSLTD,EC Granted - Processed offline
4290,SIA/KA/MIS/117999/2019,SEIAA 134 CON 2019,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 14 Sep 2019 ,Date of Ec Granted : 11 Dec 2019,INFRA-2,"M/S. ARAVIND SMART SPACES LTD.,  (FORMERLY KNOWN AS ARVIND INFRASTRUCTURE LIMITED)",EC Granted - Processed offline
4291,SIA/KA/NCP/89864/2018,SEIAA 01 CON 2019,Karnataka,Ramanagara,Kanakapura,Date of Submission for EC: 28 Dec 2018 ,Date of Ec Granted : 30 Jan 2019,INFRA-1,MS MAHATMA GANDHI VIDYA PEETHA TRUST,EC Granted
4292,SIA/KA/MIN/469/2015,,Karnataka,Chikmagalur,Tarikere,Date of Submission for TOR: ,Date of Submission for EC: 20 Jul 2015 ,Non-Coal Mining,"District Sand Monitoring Committe, Haveri",Delisted
4293,SIA/KA/MIS/69036/2021,SEIAA 57 CON 2020,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for EC: 13 Nov 2021 ,Date of Ec Granted : 01 Jul 2022,INFRA-2,"M/S. MANYATA REALTY AND MANYATA INFRASTRUCTURE DEVELOPMENTS PVT LTD,",EC Granted
