,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
515,SIA/WB/IND2/82368/2018,EN/T-II-1/101/2018,Setting up manufacturing unit of Acid Slurry (LABSA),West Bengal,Hooghly,Polba - Dadpur,Date of Submission for EC: 19 Nov 2018 ,Date of Ec Granted : 14 Feb 2019,Industrial Projects - 2,SANDHYA CHEMICALS,EC Granted
516,SIA/WB/IND2/30611/2017,EN/T-II-1/052/2017,Proposed expansion of unsaturated polyester resin production from 25 MTM to 481 MTM,West Bengal,South 24 Parganas,Bishnupur - II,Date of Submission for EC: 03 Jan 2019 ,Date of Ec Granted : 16 Oct 2019,Industrial Projects - 2,SHA POLYCHEM PVT LTD,EC Granted
517,SIA/WB/MIN/415155/2023,EN/T-II-1/043/2023,Chengmari Sand Mine (MIN_APD_17_A),West Bengal,,,Date of Submission for EC: 29 Jan 2023 ,Date of Ec Granted : 10 Mar 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
518,SIA/WB/MIN/408669/2022,EN/T-II-1/099/2022,Phd NIMBUTARI Sand Block,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 30 Nov 2022 ,Non-Coal Mining,VIVEK KUMAR,Rejection Letter Granted
519,SIA/WB/MIS/64269/2017,,Ideal Unique Centre,West Bengal,Kolkata,Kolkata,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2017 ,INFRA-2,IDEAL UNIQUE REALTORS PVT LTD,WithdrawEC
520,SIA/WB/MIN/422364/2023,EN/T-II-1/339/2023,MIN_APD_18 Sand Mine,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Mar 2023 ,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,Agenda Uploaded by SEIAA
521,SIA/WB/IND3/410038/2022,EN/T-II-1/062/2021,Environmental Impact Assessment for Proposed 24 TPA GREEN FIELD Ambrettolide manufacturing unit  ,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 22 Mar 2023 ,Industrial Projects - 3,SARAOGI SHELLAC OVERSEAS CORP,Agenda Uploaded by SEIAA
522,SIA/WB/INFRA2/410450/2022,EN/T-II-1/091/2022,Residential Complex by Zenith Conclave LLP,West Bengal,,,Date of Submission for EC: 15 Dec 2022 ,Date of Ec Granted : 02 Jun 2023,INFRA-2, ZENITH CONCLAVE LLP,EC Granted
523,SIA/WB/MIN/60412/2016,EN/T-II-1/081/2016,Sand Mining Project of Sri Bishu Kora,West Bengal,Barddhaman,Burdwan - II,Date of Submission for EC: 22 Nov 2016 ,Date of Ec Granted : 04 Aug 2017,Non-Coal Mining,BISHU KORA SAND MINE,EC Granted
524,SIA/WB/INFRA2/451092/2023,,Proposed development of Residential Complex cum Hotel,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Nov 2023 ,INFRA-2, AQUA PARK GARDEN & RESORTS PRIVATE LIMITED,Query raised by SEIAA and pending at PP
