"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"10670",1328,"SIA/GJ/MIN/42908/2016","JAYANTIBHAI PARSHOTAMBHAI SONDAGAR","Non-Coal Mining","02 Feb 2016","02/02/2016","02/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/42908/2016&type=EC&ID=11612"
"10671",1329,"SIA/GJ/NCP/30280/2015","Proposed Residential Project","INFRA-1","22 Aug 2015","22/08/2015","15/09/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/30280/2015&type=EC&ID=492"
"10672",1330,"SIA/GJ/MIN/39853/2016","NARANBHAI RAJABHAI SOJITRA","Non-Coal Mining","29 Jan 2016","29/01/2016","30/01/2016","29/01/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/39853/2016&type=EC&ID=8779"
"10673",1331,"SIA/GJ/MIN/41982/2016","Hajabhai Hamirbhai Mori","Non-Coal Mining","22 Jan 2016","22/01/2016","27/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41982/2016&type=EC&ID=10743"
"10674",1332,"SIA/GJ/MIN/48186/2016","HINDUSTAN STONE CRUSHER","Non-Coal Mining","06 Feb 2016","06/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48186/2016&type=EC&ID=12023"
"10675",1333,"SIA/GJ/MIN/48592/2016","Manojbhai Bharatbhai Padvi
02-00-00 HA","Non-Coal Mining","09 Feb 2016","09/02/2016","10/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48592/2016&type=EC&ID=12418"
"10676",1334,"SIA/GJ/MIN/49308/2016","Shree Fakirbhai M. motala (01-00-00 Ha)","Non-Coal Mining","14 Feb 2016","14/02/2016","14/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49308/2016&type=EC&ID=13108"
"10677",1335,"SIA/GJ/MIN/49399/2016","Dwarkadhish Stone Crusher C/o. Kiritbhai","Non-Coal Mining","15 Feb 2016","15/02/2016","15/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49399/2016&type=EC&ID=13200"
"10678",1336,"SIA/GJ/MIN/51236/2016","Arjunsinh Pravinsinh Rana","Non-Coal Mining","08 Mar 2016","08/03/2016","08/03/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/51236/2016&type=EC&ID=14992"
"10679",1337,"SIA/GJ/MIN/34912/2015","Thakor Savitaben Velaji","Non-Coal Mining","23 Jan 2016","23/01/2016","28/01/2016","23/01/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34912/2015&type=EC&ID=4195"
"10680",1338,"SIA/GJ/MIS/166082/2020","Construction of Two High Rise Buildings – ‘The Shed’ (Commercial Building) and Multilevel Parking Building","INFRA-2","01 Aug 2020","01/08/2020","","","10/08/2020","","","17/08/2020","","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/166082/2020&type=EC&ID=121670"
"10681",1339,"SIA/GJ/MIN/35066/2015","Ajaybhai Vallabhbhai Solanki","Non-Coal Mining","19 Dec 2015","19/12/2015","21/12/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35066/2015&type=EC&ID=4337"
"10682",1340,"SIA/GJ/IND2/26102/2018","M/s. Green Planet Chemicals","Industrial Projects - 2","19 Apr 2019","19/04/2019","","","29/05/2019","","","01/06/2019","27/01/2020","11/12/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/26102/2018&type=EC&ID=54942"
"10683",1341,"SIA/GJ/MIS/103137/2019","Saamarth Heaven-5","INFRA-2","23 Apr 2019","23/04/2019","","","28/04/2019","","","29/04/2019","09/07/2019","24/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/103137/2019&type=EC&ID=55041"
"10684",1342,"SIA/GJ/MIN/41003/2016","Shree Ghanshyam Quarry Works
01-50-25 Ha","Non-Coal Mining","15 Jan 2016","15/01/2016","","","21/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41003/2016&type=EC&ID=9838"
"10685",1343,"SIA/GJ/MIN/38315/2016","Mining from Sabarmati River Bed from lease of Lalsinh Shivsinh Rathod","Non-Coal Mining","06 Jan 2016","06/01/2016","","","06/01/2016","","","06/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38315/2016&type=EC&ID=7420"
"10686",1344,"SIA/GJ/MIN/52686/2016","EXISTING ORDINARY SAND MINOR MINREL B2
CATEGORY MINING LEASE PROJECT @ SR.NO-GHELO RIVER PAIKE - 00.95.73 HA","Non-Coal Mining","08 Apr 2016","08/04/2016","11/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/52686/2016&type=EC&ID=17242"
"10687",1345,"SIA/GJ/MIN/34954/2015","riverbed sand mine of sureshsinh babusinh vaghela","Non-Coal Mining","01 Jan 2016","01/01/2016","04/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/34954/2015&type=EC&ID=4234"
"10688",1346,"SIA/GJ/MIN/35675/2015","Mankani Sand Deposit","Non-Coal Mining","23 Dec 2015","23/12/2015","28/12/2015","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35675/2015&type=EC&ID=4837"
"10689",1347,"SIA/GJ/MIN/33752/2015","RANJITBHAI VISHUBHAI JALU","Non-Coal Mining","29 Jan 2016","29/01/2016","30/01/2016","29/01/2016","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33752/2015&type=EC&ID=3100"
"10690",1348,"SIA/GJ/MIN/53108/2016","Black trap mine
B.NO 344, S.No. 196,197,198","Non-Coal Mining","23 Apr 2016","23/04/2016","26/04/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/53108/2016&type=EC&ID=19566"
"10691",1349,"SIA/GJ/MIN/49985/2016","SAND LEASE OF SHREE TAHKOR RAMESHBHAI MANIBHAI JUNIMANGROL 03.00.00HECTOR","Non-Coal Mining","19 Feb 2016","19/02/2016","22/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/49985/2016&type=EC&ID=13864"
"10692",1350,"SIA/GJ/NCP/53739/2016","Shivalik Sharda","INFRA-1","13 May 2016","13/05/2016","19/05/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53739/2016&type=EC&ID=20082"
"10693",1351,"SIA/GJ/NCP/53793/2016","Balvantbhai Chodavadiya","INFRA-1","16 May 2016","16/05/2016","","","21/05/2016","","","25/05/2016","04/11/2016","03/02/2017","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/53793/2016&type=EC&ID=20128"
"10694",1352,"SIA/GJ/NCP/89619/2018","Rajhans Febrizo","INFRA-1","25 Dec 2018","25/12/2018","","","08/01/2019","","","15/01/2019","11/03/2019","01/04/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/89619/2018&type=EC&ID=51317"
"10695",1353,"SIA/GJ/NCP/59228/2016","Kanubhai Nagjibhai Kakadia","INFRA-1","29 Sep 2016","29/09/2016","29/09/2016","29/09/2016","29/09/2016","","","30/09/2016","27/02/2017","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/59228/2016&type=EC&ID=31802"
"10696",1354,"SIA/GJ/MIS/197302/2021","The Emerald","INFRA-2","09 Feb 2021","09/02/2021","","","12/02/2021","","","23/02/2021","07/07/2021","17/06/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/197302/2021&type=EC&ID=163110"
"10697",1355,"SIA/GJ/IND2/200557/2021","M/s. Ravico Pharmaceutical","Industrial Projects - 2","24 Mar 2021","04/03/2021","","","05/03/2021","24/03/2021","24/03/2021","25/03/2021","07/07/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/200557/2021&type=EC&ID=167936"
"10698",1356,"SIA/GJ/MIN/702/2015","New Sarkar Bricks","Non-Coal Mining","01 Aug 2015","01/08/2015","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/702/2015&type=EC&ID=249"
"10699",1357,"SIA/GJ/MIN/38102/2016","ORDINARY SAND MINING LEASE PROJECT - Surendrasinh joravarsinh
chavda","Non-Coal Mining","05 Jan 2016","05/01/2016","05/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38102/2016&type=EC&ID=7231"
"10700",1358,"SIA/GJ/MIN/41286/2016","Gayatri Stone Suppliers C/o. Naran Vejanand Chavda","Non-Coal Mining","18 Jan 2016","18/01/2016","","","21/01/2016","","","25/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41286/2016&type=EC&ID=10110"
"10701",1359,"SIA/GJ/IND2/152682/2020","Proposed project for manufacturing of Linear Alkyl Benzene Sulphonic Acid by M/s. Radhakrishna Surfactants Pvt. Ltd.","Industrial Projects - 2","11 Jul 2020","11/05/2020","13/07/2020","11/07/2020","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/152682/2020&type=EC&ID=104619"
"10702",1360,"SIA/GJ/IND2/154542/2020","M/s. Aditya Pharma Chem (API-Bulk Drugs)","Industrial Projects - 2","26 May 2020","26/05/2020","","","27/05/2020","","","31/05/2020","14/03/2021","05/11/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/154542/2020&type=EC&ID=107120"
"10703",1361,"SIA/GJ/IND3/69246/2021","M/s. Bhagvati Synchem Opc Private Limited","Industrial Projects - 3","24 Dec 2021","10/12/2021","","","13/12/2021","23/12/2021","24/12/2021","19/01/2022","25/04/2022","02/07/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/69246/2021&type=EC&ID=193492"
"10704",1362,"SIA/GJ/NCP/65084/2017","Parijat Residency ","INFRA-1","08 Aug 2017","08/08/2017","24/07/2017","08/08/2017","29/08/2017","","","04/09/2017","24/02/2018","22/02/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/65084/2017&type=EC&ID=35420"
"10705",1363,"SIA/GJ/NCP/65087/2017","Rajabhai Khodabhai Limbasiya & others","INFRA-1","19 Aug 2017","19/08/2017","11/08/2017","19/08/2017","29/08/2017","","","04/09/2017","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/65087/2017&type=EC&ID=35422"
"10706",1364,"SIA/GJ/NCP/66882/2017","satva shiva gold","INFRA-1","05 Oct 2017","05/10/2017","24/07/2017","05/10/2017","17/10/2017","","","06/11/2017","15/02/2018","28/02/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/66882/2017&type=EC&ID=36956"
"10707",1365,"SIA/GJ/MIN/35020/2015","Green Marbles 1.07 Hect.","Non-Coal Mining","01 Jan 2016","01/01/2016","04/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35020/2015&type=EC&ID=4294"
"10708",1366,"SIA/GJ/MIN/38123/2016","ASSISTANT GEOLOGIST AHMEDABAD PIPLAJ","Non-Coal Mining","05 Jan 2016","05/01/2016","","","05/01/2016","","","06/01/2016","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/38123/2016&type=EC&ID=7252"
"10709",1367,"SIA/GJ/IND2/49806/2015","M/s. Merino Industries Ltd.","Industrial Projects - 2","30 Jan 2020","16/01/2020","03/02/2020","30/01/2020","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/49806/2015&type=EC&ID=85760"
"10710",1368,"SIA/GJ/IND2/32359/2018","Proposed Expansion for the Manufacturing of Dye Intermediates","Industrial Projects - 2","21 May 2019","21/05/2019","13/05/2019","21/05/2019","28/05/2019","","","01/06/2019","09/09/2019","09/06/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/32359/2018&type=EC&ID=53607"
"10711",1369,"SIA/GJ/MIN/64288/2017","ORDINARY SAND MINING PROJECT BY BHUPENDRBHAI GOSWAMI (9.89.80 HECTARES)","Non-Coal Mining","28 Apr 2017","28/04/2017","04/07/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/64288/2017&type=EC&ID=35106"
"10712",1370,"SIA/GJ/MIN/83052/2018","Shree Shaktikrupa Bricks","Non-Coal Mining","21 Oct 2018","21/10/2018","03/11/2018","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/83052/2018&type=EC&ID=47395"
"10713",1371,"SIA/GJ/NCP/83659/2018","Venus Lifestyle","INFRA-1","27 Oct 2018","27/10/2018","","","14/11/2018","19/11/2018","10/12/2018","17/12/2018","07/02/2019","04/02/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/83659/2018&type=EC&ID=47467"
"10714",1372,"SIA/GJ/IND2/20606/2017","BASF India Limited (Unit-I)","Industrial Projects - 2","18 Apr 2018","18/04/2018","","","30/04/2018","","","05/05/2018","28/06/2018","31/07/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20606/2017&type=EC&ID=43737"
"10715",1373,"SIA/GJ/MIS/120895/2019","Nirali Memorial Medical Trust","INFRA-2","09 Oct 2019","09/10/2019","","","14/10/2019","","","01/11/2019","08/01/2020","01/07/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/120895/2019&type=EC&ID=68520"
"10716",1374,"SIA/GJ/MIN/33747/2015","RANJITBHAI VISHUBHAI JALU","Non-Coal Mining","03 Dec 2015","03/12/2015","","","04/12/2015","","","04/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33747/2015&type=EC&ID=3097"
"10717",1375,"SIA/GJ/MIN/33756/2015","Pratapbhai Sardarbhai Vanzara","Non-Coal Mining","03 Dec 2015","03/12/2015","","","04/12/2015","","","04/12/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33756/2015&type=EC&ID=3103"
"10718",1376,"SIA/GJ/MIN/65659/2017","Bharatbhai Prabhatbhai Oad","Non-Coal Mining","23 Jun 2017","23/06/2017","12/07/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/65659/2017&type=EC&ID=35664"
"10719",1377,"SIA/GJ/IND3/71933/2020","Shreenathji Industries","Industrial Projects - 3","05 Feb 2022","05/02/2022","","","09/02/2022","28/02/2022","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/71933/2020&type=EC&ID=198818"
"10720",1378,"SIA/GJ/IND3/247064/2021","Proposed Active Pharmaceutical Ingredients and Intermediates project","Industrial Projects - 3","03 Feb 2022","23/12/2021","","","24/12/2021","13/01/2022","03/02/2022","05/02/2022","","10/10/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/247064/2021&type=EC&ID=195544"
"10721",1379,"SIA/GJ/NCP/74747/2018","Proposed Construction of
L.I.G Awas Type Housing under 
Mukhya Mantri Gruh Yojana
(Affordable Housing L.I.G - 1)","INFRA-1","16 May 2018","16/05/2018","07/05/2018","16/05/2018","25/05/2018","","","28/05/2018","16/11/2018","17/11/2018","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/74747/2018&type=EC&ID=43845"
"10722",1380,"SIA/GJ/NCP/95222/2019","Proposed Commercial Project","INFRA-1","11 Feb 2019","11/02/2019","","","20/02/2019","","","22/02/2019","09/07/2019","04/05/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/95222/2019&type=EC&ID=52866"
"10723",1381,"SIA/GJ/MIN/48310/2016","IKBALKHA NIVAZKHA KURESHI","Non-Coal Mining","07 Feb 2016","07/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48310/2016&type=EC&ID=12145"
"10724",1382,"SIA/GJ/MIN/48336/2016","EXISTING ORDINARY SAND MINING LEASE PROJECT","Non-Coal Mining","08 Feb 2016","08/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48336/2016&type=EC&ID=12171"
"10725",1383,"SIA/GJ/IND2/165028/2020","M/s. Komal Pharmaceuticals (API-Bulk Drug and Drug Intermediates)","Industrial Projects - 2","24 Jul 2020","24/07/2020","","","10/08/2020","","","05/09/2020","14/03/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/165028/2020&type=EC&ID=117485"
"10726",1384,"SIA/GJ/MIN/48248/2016","Backbone Construction Pvt. ltd.","Non-Coal Mining","06 Feb 2016","06/02/2016","09/02/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48248/2016&type=EC&ID=12083"
"10727",1385,"SIA/GJ/NCP/82893/2018","RADHE PARAMOUNT","INFRA-1","18 Oct 2018","18/10/2018","","","29/10/2018","","","02/11/2018","22/02/2019","10/04/2019","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/82893/2018&type=EC&ID=47361"
"10728",1386,"SIA/GJ/MIS/218150/2021","''The CBD''","INFRA-2","27 Sep 2021","05/07/2021","","","18/08/2021","27/09/2021","27/09/2021","29/09/2021","","15/07/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/218150/2021&type=EC&ID=188961"
"10729",1387,"SIA/GJ/MIN/43561/2019","Shri Dhavalkumar Chandubhai Rathva","Non-Coal Mining","01 Jun 2021","01/06/2021","","","08/06/2021","","","05/08/2021","","25/05/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/43561/2019&type=EC&ID=188045"
"10730",1388,"SIA/GJ/MIS/228562/2021","Shashwat Mahadev Lakeview","INFRA-2","14 Oct 2021","09/09/2021","","","13/09/2021","29/09/2021","14/10/2021","22/10/2021","27/01/2022","22/02/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/228562/2021&type=EC&ID=191015"
"10731",1389,"SIA/GJ/IND2/206607/2021","Remedy Labs","Industrial Projects - 2","27 Mar 2021","27/03/2021","","","30/03/2021","","","30/03/2021","04/02/2022","05/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/206607/2021&type=EC&ID=175477"
"10732",1390,"SIA/GJ/MIS/219541/2021","Shiv Samarth - 2","INFRA-2","12 Jul 2021","12/07/2021","","","19/08/2021","","","08/09/2021","29/11/2021","03/03/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/219541/2021&type=EC&ID=189182"
"10733",1391,"SIA/GJ/MIN/65778/2019","Rupal Sand Stone Mine Survey no.  667 Paiki","Non-Coal Mining","31 Jan 2022","18/07/2021","","","26/08/2021","24/01/2022","31/01/2022","03/02/2022","","25/05/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/65778/2019&type=EC&ID=189365"
"10734",1392,"SIA/GJ/MIS/221670/2021","Residential Building Construction (Under Redevelopment Public Housing Scheme-2016, Govt. of Gujarat) of  Ahmedabad Municipal Corporation","INFRA-2","26 Jul 2021","26/07/2021","","","25/08/2021","","","04/09/2021","26/11/2021","17/12/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/221670/2021&type=EC&ID=189562"
"10735",1393,"SIA/GJ/MIN/33223/2015","VISHNUBHAI MAGANBHAI PATEL","Non-Coal Mining","25 Nov 2015","25/11/2015","","","28/11/2015","","","30/11/2015","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/33223/2015&type=EC&ID=2682"
"10736",1394,"SIA/GJ/MIN/41988/2016","Gangabhai Lakhmanbhai Parmar","Non-Coal Mining","21 Jan 2016","21/01/2016","27/01/2016","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41988/2016&type=EC&ID=10749"
"10737",1395,"SIA/GJ/IND2/52798/2019","Spray Drying and Chemicals Pvt. Ltd.","Industrial Projects - 2","16 Apr 2020","13/04/2020","15/04/2020","16/04/2020","16/04/2020","","","29/05/2020","14/03/2021","12/10/2020","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/52798/2019&type=EC&ID=101079"
"10738",1396,"SIA/GJ/MIS/169080/2020","EWS Housing II","INFRA-2","21 Aug 2020","21/08/2020","","","28/08/2020","","","14/09/2020","","19/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/169080/2020&type=EC&ID=124359"
"10739",1397,"SIA/GJ/IND3/68572/2019","M/s. Nilkanth Organics Pvt Ltd. Unit 2","Industrial Projects - 3","29 Nov 2021","28/10/2021","","","29/10/2021","18/11/2021","29/11/2021","01/12/2021","","04/11/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/68572/2019&type=EC&ID=192458"
"10740",1398,"SIA/GJ/NCP/61089/2016","Jusal Properties Pvt. Ltd.","INFRA-1","13 Dec 2016","13/12/2016","","","21/12/2016","","","23/12/2016","18/05/2017","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/NCP/61089/2016&type=EC&ID=33157"
"10741",1399,"SIA/GJ/MIN/35314/2019","Kajipur Granite Block 1 Mining Project, Proposed by M/s Manico Resources Private Limited","Non-Coal Mining","27 Oct 2020","27/10/2020","","","03/11/2020","","","18/11/2020","25/10/2021","02/07/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/35314/2019&type=EC&ID=141200"
"10742",1400,"SIA/GJ/MIS/38624/2012","Nandesari Industries Association - Expansion of CETP","INFRA-2","07 Sep 2020","07/09/2020","24/07/2019","07/09/2020","10/09/2020","14/09/2020","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/38624/2012&type=EC&ID=57156"
"10743",1401,"SIA/GJ/IND2/173164/2020","Proposed Drug Intermediates Manufacturing Unit - Harsh Industries","Industrial Projects - 2","14 Sep 2020","14/09/2020","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/173164/2020&type=EC&ID=130369"
"10744",1402,"SIA/GJ/IND2/173215/2020","M/s. Vasundhara Speciality Chemicals","Industrial Projects - 2","07 Dec 2020","24/09/2020","","","25/09/2020","28/11/2020","07/12/2020","17/12/2020","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/173215/2020&type=EC&ID=130385"
"10745",1403,"SIA/GJ/IND2/173281/2020","NANDANI CHEMICALS","Industrial Projects - 2","15 Sep 2020","15/09/2020","","","18/09/2020","","","30/09/2020","10/03/2021","03/04/2021","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/173281/2020&type=EC&ID=130396"
"10746",1404,"SIA/GJ/IND3/73488/2021","Proposed Expansion Project for the Manufacturing of Dyes Intermediates by Shree Jayvir Organics","Industrial Projects - 3","09 Apr 2022","16/03/2022","","","19/03/2022","05/04/2022","09/04/2022","16/04/2022","","04/11/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/73488/2021&type=EC&ID=200394"
