,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
850,851,9,SIA/PB/IND/50002/2018,SEIAA/PB/IND/EC/2020/08,"Expansion in the existing Steel Manufacturing unit namely ""M/s Samana Concast"" located in village Tooran, Amloh road, Mandi Gobindgarh, District- Fatehgarh Sahib, Punjab",M/S SAMANA CONCAST,EC Granted,EC,, 
851,852,3,SIA/PB/IND/69743/2021,SEIAA/PB/IND/2021/EC/24,"Expansion in the existing Steel Manufacturing Unit ""M/s Maruti Alloys"" at Village- Dugri, Tehsil- Payal, District- Ludhiana, Punjab","EXPANSION IN THE EXISTING STEEL MANUFACTURING UNIT NAMELY ""M/S MARUTI ALLOYS""",EC Granted,EC,, 
852,853,7,SIA/PB/MIS/202330/2021,SEIAA/PB/MIS/EC/06,"Judicial Court Complex and District Administrative Complex, Tarn Taran",PWD PUNJAB,EC Granted,EC,, 
853,854,1,SIA/PB/NCP/62397/2017,,HOMELAND HEIGHTS,HOMELAND BUILDWELL PVT LTD,Delisted,EC,, 
854,855,2,SIA/PB/NCP/4680/2015,,Hero Realty Pvt Ltd,HERO REALTY PVT LTD,Pending at PP due to eds,EC,, 
855,856,3,SIA/PB/MIN/415348/2023,SEIAA/PB/MIN/2023/EC/02,"Behak Hasta Uttar/Ghurka Sand Mining Project by Executive Engineer Cum District Mining Officer, Drainage-Cum-Mining & Geology Division, Water Resources Department, Fazilka Division",EXECUTIVE ENGINEER CUM DISTRICT MINING OFFICER DRAINAGE CONST DIV FAZILKA,EC Granted,EC,, 
856,857,2,SIA/PB/MIN/149058/2020,SEIAA/PB/MIN/EC/2020/13,"Sand Mining lease Located at Village Chak Badhai, Tehsil & District Ferozepur on the Agricultural Land having an area of  3.24 ha",PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
857,858,7,SIA/PB/IND2/214088/2021,,"Proposed Expansion in distillery unit from 120 KLPD to 192 KLPD ofalcohol (40KLPD RS/ENA and 152 KLPD of Ethanol) Village Sangat Kalan, Tehsil and District-Bathinda, Punjab by M/s. Om Sons Marketing Private Limited.",M/S OM SONS MARKETING PRIVATE LIMITED,Delisted,EC,, 
858,859,2,SIA/PB/MIS/105408/2019,SEIAA/PB/NCP/EC/2019/16,NORTH VIEW PARK,B B DEVELOPERS,EC Granted,EC,, 
859,860,5,SIA/PB/MIS/114401/2019,SEIAA/PB/NCP/Exp/2019/25,"Expansion of Commercial Food Court Project ""Mohali Walk"" by PP Buildwell Pvt. Ltd.",M/S P.P. BUILDWELL PRIVATE LIMITED,EC Granted,EC,, 
